Nro.,Vehículo,Odómetro,Horómetro,Fecha,Tanqueo Full,Costo por Volumen,Cant.,Unidad,Costo Total,Tipo,
634,"101",1086986,,"06/ago./2024 17:33:18","S","24,95","20","Litros","499","DIESEL",
633,"101",1086986,,"06/ago./2024 17:29:56","S","25,38","394","Litros","9999","DIESEL",
637,"102",1023146,,"06/ago./2024 6:23:00","S","24,57","127","Litros","3120","DIESEL",
638,"110",595357,,"06/ago./2024 3:51:00","S","25,51","196","Litros","5000","DIESEL",
636,"105",492843,,"05/ago./2024 23:00:00","S","24,57","127","Litros","3120","DIESEL",
635,"107",1106110,,"05/ago./2024 16:06:00","S","24,79","115","Litros","2851","DIESEL",
609,"102",1022660,,"04/ago./2024 5:33:00","S","25,8","141","Litros","3638","DIESEL",
622,"107",1105674,,"04/ago./2024 1:13:00","S","25,86","124","Litros","3207","DIESEL",
621,"107",1105284,,"03/ago./2024 18:20:53","S","25,69","111","Litros","2852","DIESEL",
608,"102",1022194,,"03/ago./2024 15:40:20","S","26,55","132","Litros","3504","DIESEL",
629,"110",593957,,"03/ago./2024 10:56:00","S","24,89","400","Litros","9957","DIESEL",
613,"104",1041780,,"03/ago./2024 5:56:00","S","24,89","143","Litros","3559","DIESEL",
605,"101",1086040,,"03/ago./2024 4:32:49","S","25,67","63","Litros","1617","DIESEL",
604,"101",1086040,,"03/ago./2024 4:26:43","S","25,59","390","Litros","9980","DIESEL",
607,"102",1021710,,"03/ago./2024 0:05:00","S","25,69","117","Litros","3006","DIESEL",
620,"107",1104949,,"02/ago./2024 23:50:26","S","25,98","135","Litros","3507","DIESEL",
612,"104",1041377,,"02/ago./2024 18:48:30","S","25,98","139","Litros","3611","DIESEL",
628,"109",565575,,"02/ago./2024 18:41:19","S","25,29","93","Litros","2352","DIESEL",
627,"109",565575,,"02/ago./2024 18:32:51","S","25,19","397","Litros","9999","DIESEL",
619,"107",1104521,,"02/ago./2024 17:27:36","S","26,26","102","Litros","2679","DIESEL",
606,"102",1021249,,"02/ago./2024 9:54:00","S","24,99","117","Litros","2924","DIESEL",
631,"105",492389,,"02/ago./2024 9:28:03","S","26,67","120","Litros","3200","DIESEL",
630,"104",1040946,,"01/ago./2024 23:07:49","S","26,67","120","Litros","3200","DIESEL",
614,"105",492035,,"01/ago./2024 22:21:31","S","25,03","62","Litros","1552","DIESEL",
618,"107",1104091,,"01/ago./2024 21:04:09","S","25,17","133","Litros","3347","DIESEL",
624,"108",1142707,,"01/ago./2024 14:39:53","S","25,26","112","Litros","2829","DIESEL",
611,"104",1040593,,"01/ago./2024 13:39:00","S","24,86","152","Litros","3779","DIESEL",
617,"107",1103678,,"01/ago./2024 7:13:09","S","26,04","117","Litros","3047","DIESEL",
632,"107",1103598,,"01/ago./2024 5:50:22","S","26,6","40","Litros","1064","DIESEL",
616,"107",1103226,,"31/jul./2024 23:59:05","S","26,79","112","Litros","3000","DIESEL",
626,"109",564719,,"31/jul./2024 21:59:12","S","25,64","86","Litros","2205","DIESEL",
625,"109",564719,,"31/jul./2024 21:51:43","S","25,57","391","Litros","9999","DIESEL",
623,"108",1142301,,"31/jul./2024 19:50:57","S","25,87","99","Litros","2561","DIESEL",
610,"104",1040190,,"31/jul./2024 17:27:57","S","25,79","160","Litros","4126","DIESEL",
615,"107",1102807,,"31/jul./2024 15:51:00","S","23,8","114","Litros","2713","DIESEL",
603,"101",1084970,,"31/jul./2024 15:42:13","S","25,18","165","Litros","4154","DIESEL",
602,"101",1084970,,"31/jul./2024 15:35:17","S","25,19","397","Litros","9999","DIESEL",
586,"110",593136,,"31/jul./2024 3:15:56","S","26,01","145","Litros","3771","DIESEL",
585,"110",593136,,"31/jul./2024 3:10:31","S","25,97","385","Litros","9999","DIESEL",
584,"108",1141914,,"31/jul./2024 2:15:11","S","26,67","120","Litros","3200","DIESEL",
583,"104",1039769,,"31/jul./2024 2:07:39","S","26,51","83","Litros","2200","DIESEL",
582,"107",1102572,,"30/jul./2024 23:17:44","S","26,23","122","Litros","3200","DIESEL",
581,"107",1102316,,"30/jul./2024 18:54:00","S","26,97","79","Litros","2131","DIESEL",
580,"108",1141546,,"30/jul./2024 16:27:43","S","25,14","59","Litros","1483","DIESEL",
579,"102",1020844,,"30/jul./2024 15:44:10","S","25,87","146","Litros","3777","DIESEL",
578,"104",1039397,,"30/jul./2024 14:46:33","S","25,25","77","Litros","1944","DIESEL",
577,"107",1101872,,"30/jul./2024 10:55:22","S","26,51","83","Litros","2200","DIESEL",
